"Symbol";"Value";"Unit";
"Dynamic_Load_Capacity";"89000 N";"";
"REFERENCE";"51124";"";
"SUPPLIER_NAME";"Motion Industries";"";
"SUPPLIER";"NTN Bearing Company";"";
"Separable_or_Banded";"Separable";"";
"Precision_Rating";"ISO Class 0";"";
"Motion_Internal_Description";"51124 BALL BRG";"";
"Bearing_Material";"High Carbon Chrome Steel";"";
"TraceParts.PartTitle";"Ball Thrust Bearing, Single-Direction, 120 mm Bore, 155 mm OD, 25 mm Width, Separable";"";
"DESIGN";"Ball Thrust Bearing, Single-Direction, 120 mm Bore, 155 mm OD, 25 mm Width, Separable";"";
"Thrust_Bearing_Type";"Single-Direction";"";
"Outside_Diameter";"155 mm";"";
"TraceParts.PartVersion";"1.0.0";"";
"TraceParts.PartNumber";"90-15102020-044598";"";
"Maximum_RPM";"2200 rpm";"";
"Part_Number_EShop_URL";"https://motionindustries.com/products/sku/00132889";"";
"Fillet_Radius";"1 mm";"";
"Weight";"2.66 lbs";"";
"Outside_Diameter_Design";"Straight";"";
"TraceParts.InstanceId";"90-15102020-0445982N3XX9WWY2MK673V115V3T3RA";"";
"Cage_Material";"Steel";"";
"Overall_Width";"25 mm";"";
"Operating_Temperature_Range";"-40 to 120 ºC";"";
"Static_Load_Capacity";"310000 N";"";
"Bore_Diameter";"120 mm";"";
"TraceParts.PartLanguage";"en";"";
"SUPPLIER_PART_NUMBER";"00132889";"";
